date,year,crop,percent,week
2015-10-11,2015,CORN,80,41
2015-10-18,2015,CORN,80,42
2015-10-25,2015,CORN,80,43
2016-05-22,2016,CORN,73,20
2016-05-29,2016,CORN,77,21
2016-06-05,2016,CORN,80,22
2016-06-12,2016,CORN,80,23
2016-06-19,2016,CORN,79,24
2016-06-26,2016,CORN,79,25
2016-07-03,2016,CORN,79,26
2016-07-10,2016,CORN,79,27
2016-07-17,2016,CORN,81,28
2016-07-24,2016,CORN,82,29
2016-07-31,2016,CORN,83,30
2016-08-07,2016,CORN,83,31
2016-08-14,2016,CORN,83,32
2016-08-21,2016,CORN,83,33
2016-08-28,2016,CORN,83,34
2016-09-04,2016,CORN,83,35
2016-09-11,2016,CORN,83,36
2016-09-18,2016,CORN,83,37
2016-09-25,2016,CORN,82,38
2016-10-02,2016,CORN,81,39
2016-10-09,2016,CORN,81,40
2016-10-16,2016,CORN,82,41
2016-10-23,2016,CORN,83,42
2017-05-21,2017,CORN,75,20
2017-05-28,2017,CORN,73,21
2017-06-04,2017,CORN,77,22
2017-06-11,2017,CORN,77,23
2017-06-18,2017,CORN,78,24
2017-06-25,2017,CORN,79,25
2017-07-02,2017,CORN,78,26
2017-07-09,2017,CORN,77,27
2017-07-16,2017,CORN,71,28
2017-07-23,2017,CORN,68,29
2017-07-30,2017,CORN,65,30
2017-08-06,2017,CORN,64,31
2017-08-13,2017,CORN,61,32
2017-08-20,2017,CORN,61,33
2017-08-27,2017,CORN,60,34
2017-09-03,2017,CORN,62,35
2017-09-10,2017,CORN,60,36
2017-09-17,2017,CORN,59,37
2017-09-24,2017,CORN,59,38
2017-10-01,2017,CORN,60,39
2017-10-08,2017,CORN,60,40
2017-10-15,2017,CORN,61,41
2017-10-22,2017,CORN,64,42
2017-10-29,2017,CORN,66,43
2018-05-27,2018,CORN,82,21
2018-06-03,2018,CORN,81,22
2018-06-10,2018,CORN,81,23
2018-06-17,2018,CORN,84,24
2018-06-24,2018,CORN,81,25
2018-07-01,2018,CORN,78,26
2018-07-08,2018,CORN,78,27
2018-07-15,2018,CORN,78,28
2018-07-22,2018,CORN,79,29
2018-07-29,2018,CORN,78,30
2018-08-05,2018,CORN,75,31
2018-08-12,2018,CORN,75,32
2018-08-19,2018,CORN,73,33
2018-08-26,2018,CORN,73,34
2018-09-02,2018,CORN,74,35
2018-09-09,2018,CORN,73,36
2018-09-16,2018,CORN,73,37
2018-09-23,2018,CORN,73,38
2018-09-30,2018,CORN,75,39
2018-10-07,2018,CORN,70,40
2018-10-14,2018,CORN,69,41
2018-10-21,2018,CORN,68,42
2018-10-28,2018,CORN,69,43
2019-06-09,2019,CORN,51,23
2019-06-16,2019,CORN,58,24
2019-06-23,2019,CORN,59,25
2019-06-30,2019,CORN,62,26
2019-07-07,2019,CORN,64,27
2019-07-14,2019,CORN,61,28
2019-07-21,2019,CORN,62,29
2019-07-28,2019,CORN,63,30
2019-08-04,2019,CORN,65,31
2019-08-11,2019,CORN,66,32
2019-08-18,2019,CORN,65,33
2019-08-25,2019,CORN,65,34
2019-09-01,2019,CORN,65,35
2019-09-08,2019,CORN,62,36
2019-09-15,2019,CORN,63,37
2019-09-22,2019,CORN,65,38
2019-09-29,2019,CORN,65,39
2019-10-06,2019,CORN,65,40
2019-10-13,2019,CORN,65,41
2019-10-20,2019,CORN,65,42
2019-10-27,2019,CORN,66,43
2019-11-03,2019,CORN,67,44
2019-11-10,2019,CORN,67,45
2020-05-31,2020,CORN,81,22
2020-06-07,2020,CORN,85,23
2020-06-14,2020,CORN,85,24
2020-06-21,2020,CORN,83,25
2020-06-28,2020,CORN,85,26
2020-07-05,2020,CORN,85,27
2020-07-12,2020,CORN,85,28
2020-07-19,2020,CORN,83,29
